Feb 14 06:50:09 voag uv[798833]: 06:50:09 | INFO    | post_call_analysis.runner | Empty conversation for call_log_id=dc7390de-7fa4-41c5-93c5-4f68f8359f11; skipping analysis
Feb 14 06:50:09 voag uv[798833]: 06:50:09 | WARNING | api.routes.analysis | Post-call analysis returned False for call_log_id=dc7390de-7fa4-41c5-93c5-4f68f8359f11
Feb 14 06:50:09 voag uv[798833]: 06:50:09 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 06:50:09 voag uv[798833]: 06:50:09 | DEBUG   | api.routes.analysis | Running lead bookings extraction for call_log_id=dc7390de-7fa4-41c5-93c5-4f68f8359f11
Feb 14 06:50:09 voag uv[798833]: 06:50:09 | WARNING | analysis.lead_bookings_extractor | Special handling for failed call (status: failed) in call dc7390de-7fa4-41c5-93c5-4f68f8359f11 - using auto_followup, grade 12 timeline, and started_at time
Feb 14 06:50:09 voag uv[798833]: 06:50:09 | WARNING | analysis.lead_bookings_extractor | No messages/segments list found in transcriptions. Type: <class 'dict'>
Feb 14 06:50:09 voag uv[798833]: 06:50:09 | WARNING | analysis.lead_bookings_extractor | No timestamp found in transcriptions, using current time as reference_time: 2026-02-14 10:50:09+04:00
Feb 14 06:50:09 voag uv[798833]: 06:50:09 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 06:50:09 voag uv[798833]: 06:50:09 | INFO    | db.storage.leads | Assigned lead 18818325-db97-4f19-9487-14e4dc92aa11 to user c1cfc12e-3185-476b-9e90-930e402dd93a
Feb 14 06:50:09 voag uv[798833]: 06:50:09 | DEBUG   | api.routes.analysis | Lead booking extracted and saved for call_log_id=dc7390de-7fa4-41c5-93c5-4f68f8359f11
Feb 14 06:50:09 voag uv[798833]: 06:50:09 | INFO    | api.routes.analysis | Analysis completed and saved to DB for call_log_id=dc7390de-7fa4-41c5-93c5-4f68f8359f11
Feb 14 06:50:28 voag uv[798833]: 06:50:28 | INFO    | api.routes.batch | Batch batch-55e24eb1e1ab4ae2ba1d560d62ff8c62 wave 60: Waiting for 15 entries (30s elapsed)
Feb 14 06:50:33 voag uv[798833]: 06:50:33 | INFO    | api.routes.batch | Updated batch entry fc7e95e5-f883-484a-9319-a8e16e23fabf to status=completed
Feb 14 06:50:33 voag uv[798833]: 06:50:33 | DEBUG   | db.storage.batches | Batch 9e689462-5a77-4614-9d54-c711fb367781: status=queued, total=983, completed=863, failed=0, done_entries=863
Feb 14 06:50:33 voag uv[798833]: INFO:     127.0.0.1:45106 - "POST /batch/entry-completed HTTP/1.1" 200 OK
Feb 14 06:50:33 voag uv[798833]: 06:50:33 | INFO    | api.routes.analysis | Analysis request received for call_log_id=dc54f9fe-1aee-4642-a782-ff42a688786b
Feb 14 06:50:33 voag uv[798833]: 06:50:33 | DEBUG   | vonage.api_security | POST /batch/entry-completed - 200 (0.024s)
Feb 14 06:50:33 voag uv[798833]: 06:50:33 | DEBUG   | api.routes.analysis | Starting background analysis for call_log_id=dc54f9fe-1aee-4642-a782-ff42a688786b
Feb 14 06:50:33 voag uv[798833]: 06:50:33 | DEBUG   | api.routes.analysis | Running post-call analysis for call_log_id=dc54f9fe-1aee-4642-a782-ff42a688786b
Feb 14 06:50:33 voag uv[798833]: 06:50:33 | INFO    | post_call_analysis.runner | Empty conversation for call_log_id=dc54f9fe-1aee-4642-a782-ff42a688786b; skipping analysis
Feb 14 06:50:33 voag uv[798833]: 06:50:33 | WARNING | api.routes.analysis | Post-call analysis returned False for call_log_id=dc54f9fe-1aee-4642-a782-ff42a688786b
Feb 14 06:50:33 voag uv[798833]: 06:50:33 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 06:50:33 voag uv[798833]: 06:50:33 | DEBUG   | api.routes.analysis | Running lead bookings extraction for call_log_id=dc54f9fe-1aee-4642-a782-ff42a688786b
Feb 14 06:50:33 voag uv[798833]: 06:50:33 | DEBUG   | vonage.api_security | POST /analysis/run-background-analysis - 200 (0.025s)
Feb 14 06:50:33 voag uv[798833]: INFO:     127.0.0.1:45114 - "POST /analysis/run-background-analysis HTTP/1.1" 200 OK
Feb 14 06:50:33 voag uv[798833]: 06:50:33 | WARNING | analysis.lead_bookings_extractor | Special handling for failed call (status: failed) in call dc54f9fe-1aee-4642-a782-ff42a688786b - using auto_followup, grade 12 timeline, and started_at time
Feb 14 06:50:33 voag uv[798833]: 06:50:33 | WARNING | analysis.lead_bookings_extractor | No messages/segments list found in transcriptions. Type: <class 'dict'>
Feb 14 06:50:33 voag uv[798833]: 06:50:33 | WARNING | analysis.lead_bookings_extractor | No timestamp found in transcriptions, using current time as reference_time: 2026-02-14 10:50:33+04:00
Feb 14 06:50:33 voag uv[798833]: 06:50:33 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 06:50:33 voag uv[798833]: 06:50:33 | INFO    | db.storage.leads | Assigned lead cf452291-f24c-4b7c-9082-99f2b634e88a to user c1cfc12e-3185-476b-9e90-930e402dd93a
Feb 14 06:50:33 voag uv[798833]: 06:50:33 | DEBUG   | api.routes.analysis | Lead booking extracted and saved for call_log_id=dc54f9fe-1aee-4642-a782-ff42a688786b
